Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
IL20	panthera_pardus	leopard	carnivora	5	49
IL26	zalophus_californianus	cali_sea_lion	carnivora	5	49
IL19	zalophus_californianus	cali_sea_lion	carnivora	5	49
IL19	ailuropoda_melanoleuca	giant_panda	carnivora	5	49
IL20	panthera_leo	lion	carnivora	5	49
IL24	canis_lupus_dingo	dingo	carnivora	5	49
IL10	canis_lupus_familiaris	domestic_dog	carnivora	5	49
IL19	vulpes_vulpes	red_fox	carnivora	5	49
IL20	lynx_canadensis	canadian_lynx	carnivora	5	49
IL26	canis_lupus_familiaris	domestic_dog	carnivora	5	49
IL10	ursus_maritimus	polar_bear	carnivora	5	49
IL19	ursus_maritimus	polar_bear	carnivora	5	49
IL19	felis_catus	domestic_cat	carnivora	4	49
IL10	panthera_leo	lion	carnivora	5	49
IL26	delphinapterus_leucas	beluga_whale	cetacea	5	5
IL10	delphinapterus_leucas	beluga_whale	cetacea	5	5
IL19	delphinapterus_leucas	beluga_whale	cetacea	5	5
IL24	delphinapterus_leucas	beluga_whale	cetacea	5	5
IL20	delphinapterus_leucas	beluga_whale	cetacea	5	5
IL26	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
IL24	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
IL19	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
IL10	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
IL20	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	5	5
IL19	dasypus_novemcinctus	nine_banded_armadillo	cingulata	5	5
IL20	dasypus_novemcinctus	nine_banded_armadillo	cingulata	5	5
IL10	dasypus_novemcinctus	nine_banded_armadillo	cingulata	5	5
IL26	dasypus_novemcinctus	nine_banded_armadillo	cingulata	5	5
IL10	sorex_araneus	european_shrew	eulipotyphyla	3	6
IL26	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	6
IL26	sorex_araneus	european_shrew	eulipotyphyla	3	6
IL10	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	6
IL19	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	6
IL19	sorex_araneus	european_shrew	eulipotyphyla	3	6
IL10	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
IL26	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
IL26	oryctolagus_cuniculus	rabbit	lagomorpha	4	6
IL20	oryctolagus_cuniculus	rabbit	lagomorpha	4	6
IL19	oryctolagus_cuniculus	rabbit	lagomorpha	4	6
IL10	ochotona_princeps	american_pika	lagomorpha	2	6
IL20	ochotona_princeps	american_pika	lagomorpha	2	6
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	4	6
IL10	equus_asinus_asinus	donkey	perissodactyla	4	9
IL24	equus_caballus	domestic_horse	perissodactyla	5	9
IL20	equus_asinus_asinus	donkey	perissodactyla	4	9
IL10	equus_caballus	domestic_horse	perissodactyla	5	9
IL26	equus_asinus_asinus	donkey	perissodactyla	4	9
IL24	equus_asinus_asinus	donkey	perissodactyla	4	9
IL19	equus_caballus	domestic_horse	perissodactyla	5	9
IL26	equus_caballus	domestic_horse	perissodactyla	5	9
IL20	equus_caballus	domestic_horse	perissodactyla	5	9
IL26	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
IL20	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
IL24	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
IL24	aotus_nancymaae	mas_night_monkey	primates	5	49
IL26	nomascus_leucogenys	gibbon	primates	5	49
IL20	aotus_nancymaae	mas_night_monkey	primates	5	49
IL10	carlito_syrichta	philippine_tarsier	primates	4	49
IL26	aotus_nancymaae	mas_night_monkey	primates	5	49
IL26	gorilla_gorilla	gorilla	primates	5	49
IL19	aotus_nancymaae	mas_night_monkey	primates	5	49
IL10	pan_troglodytes	chimpanzee	primates	5	49
IL24	carlito_syrichta	philippine_tarsier	primates	4	49
IL10	aotus_nancymaae	mas_night_monkey	primates	5	49
NULL	nomascus_leucogenys	gibbon	primates	5	49
IL24	mandrillus_leucophaeus	drill	primates	5	49
IL20	callithrix_jacchus	white_tufted_ear_marmoset	primates	5	49
IL26	papio_anubis	olive_baboon	primates	5	49
IL26	pan_troglodytes	chimpanzee	primates	5	49
IL26	mandrillus_leucophaeus	drill	primates	5	49
IL20	mandrillus_leucophaeus	drill	primates	5	49
IL24	cercocebus_atys	sooty_mangabey	primates	5	49
IL24	macaca_fascicularis	crab_eating_macaque	primates	5	49
IL26	callithrix_jacchus	white_tufted_ear_marmoset	primates	5	49
IL19	pan_troglodytes	chimpanzee	primates	5	49
IL24	pan_troglodytes	chimpanzee	primates	5	49
IL24	papio_anubis	olive_baboon	primates	5	49
IL10	callithrix_jacchus	white_tufted_ear_marmoset	primates	5	49
IL24	callithrix_jacchus	white_tufted_ear_marmoset	primates	5	49
IL20	carlito_syrichta	philippine_tarsier	primates	4	49
IL10	gorilla_gorilla	gorilla	primates	5	49
IL19	carlito_syrichta	philippine_tarsier	primates	4	49
IL20	macaca_fascicularis	crab_eating_macaque	primates	5	49
NULL	gorilla_gorilla	gorilla	primates	5	49
IL19	macaca_fascicularis	crab_eating_macaque	primates	5	49
IL19	cercocebus_atys	sooty_mangabey	primates	5	49
IL10	mandrillus_leucophaeus	drill	primates	5	49
IL20	cercocebus_atys	sooty_mangabey	primates	5	49
IL20	gorilla_gorilla	gorilla	primates	5	49
IL10	nomascus_leucogenys	gibbon	primates	5	49
IL20	pan_troglodytes	chimpanzee	primates	5	49
IL19	papio_anubis	olive_baboon	primates	5	49
IL10	cercocebus_atys	sooty_mangabey	primates	5	49
IL26	macaca_fascicularis	crab_eating_macaque	primates	5	49
IL24	gorilla_gorilla	gorilla	primates	5	49
IL20	nomascus_leucogenys	gibbon	primates	5	49
IL20	papio_anubis	olive_baboon	primates	5	49
IL26	cercocebus_atys	sooty_mangabey	primates	5	49
IL19	mandrillus_leucophaeus	drill	primates	5	49
IL24	nomascus_leucogenys	gibbon	primates	5	49
IL10	papio_anubis	olive_baboon	primates	5	49
